Original_County	State	Guns	joinfield	state_fips	county_fips
SACRAMENTO	CA	15	CA-SACRAMENTO	#N/A	
SAGINAW	MI	18	MI-SAGINAW	#N/A	
SAINT BERNARD	LA	15	LA-SAINT BERNARD	#N/A	
SAINT CHARLES	LA	3	LA-SAINT CHARLES	#N/A	
SAINT CHARLES	MO	13	MO-SAINT CHARLES	#N/A	
SAINT CLAIR	AL	2	AL-SAINT CLAIR	#N/A	
SAINT CLAIR	IL	49	IL-SAINT CLAIR	#N/A	
SAINT CLAIR	MI	6	MI-SAINT CLAIR	#N/A	
SAINT CROIX	WI	8	WI-SAINT CROIX	#N/A	
SAINT FRANCIS	AR	42	AR-SAINT FRANCIS	#N/A	
SAINT FRANCOIS	MO	2	MO-SAINT FRANCOIS	#N/A	
SAINT JOHNS	FL	3	FL-SAINT JOHNS	#N/A	
SAINT JOSEPH	MI	13	MI-SAINT JOSEPH	#N/A	
SAINT LANDRY	LA	3	LA-SAINT LANDRY	#N/A	
SAINT LOUIS CITY	MO	13	MO-SAINT LOUIS CITY	#N/A	
SAINT LOUIS	MN	14	MN-SAINT LOUIS	#N/A	
SAINT LOUIS	MO	51	MO-SAINT LOUIS	#N/A	
SAINT LUCIE	FL	1	FL-SAINT LUCIE	#N/A	
SAINT MARTIN	LA	10	LA-SAINT MARTIN	#N/A	
SAINT MARY	LA	5	LA-SAINT MARY	#N/A	
SAINT MARYS	MD	2	MD-SAINT MARYS	#N/A	
SAINT TAMMANY	LA	18	LA-SAINT TAMMANY	#N/A	
SALEM	NJ	1	NJ-SALEM	#N/A	
SALEM	VA	1	VA-SALEM	#N/A	
SALINE	AR	4	AR-SALINE	#N/A	
SALINE	IL	31	IL-SALINE	#N/A	
SALINE	KS	3	KS-SALINE	#N/A	
SALINE	MO	2	MO-SALINE	#N/A	
SALT LAKE	UT	24	UT-SALT LAKE	#N/A	
SAMPSON	NC	1	NC-SAMPSON	#N/A	
SAN AUGUSTINE	TX	3	TX-SAN AUGUSTINE	#N/A	
SAN BERNARDINO	CA	53	CA-SAN BERNARDINO	#N/A	
SAN DIEGO	CA	58	CA-SAN DIEGO	#N/A	
SAN FRANCISCO	CA	6	CA-SAN FRANCISCO	#N/A	
SAN JACINTO	TX	1	TX-SAN JACINTO	#N/A	
SAN JOAQUIN	CA	7	CA-SAN JOAQUIN	#N/A	
SAN JUAN	NM	5	NM-SAN JUAN	#N/A	
SAN LUIS OBISPO	CA	2	CA-SAN LUIS OBISPO	#N/A	
SAN MATEO	CA	7	CA-SAN MATEO	#N/A	
SAN PATRICIO	TX	2	TX-SAN PATRICIO	#N/A	
SAN SEBASTIAN	PR	2	PR-SAN SEBASTIAN	#N/A	
SANDOVAL	NM	4	NM-SANDOVAL	#N/A	
SANDUSKY	OH	4	OH-SANDUSKY	#N/A	
SANGAMON	IL	116	IL-SANGAMON	#N/A	
SANTA BARBARA	CA	3	CA-SANTA BARBARA	#N/A	
SANTA CLARA	CA	22	CA-SANTA CLARA	#N/A	
SANTA CRUZ	AZ	2	AZ-SANTA CRUZ	#N/A	
SANTA CRUZ	CA	1	CA-SANTA CRUZ	#N/A	
SANTA FE	NM	5	NM-SANTA FE	#N/A	
SANTA ROSA	FL	2	FL-SANTA ROSA	#N/A	
SARASOTA	FL	7	FL-SARASOTA	#N/A	
SARPY	NE	6	NE-SARPY	#N/A	
SAUK	WI	29	WI-SAUK	#N/A	
SAWYER	WI	6	WI-SAWYER	#N/A	
SCHOOLCRAFT	MI	1	MI-SCHOOLCRAFT	#N/A	
SCHUYLER	IL	1	IL-SCHUYLER	#N/A	
SCIOTO	OH	11	OH-SCIOTO	#N/A	
SCOTT	IA	28	IA-SCOTT	#N/A	
SCOTT	IN	25	IN-SCOTT	#N/A	
SCOTT	KY	3	KY-SCOTT	#N/A	
SCOTT	MN	4	MN-SCOTT	#N/A	
SCOTT	MO	21	MO-SCOTT	#N/A	
SCOTT	MS	33	MS-SCOTT	#N/A	
SCOTT	TN	2	TN-SCOTT	#N/A	
SCOTT	VA	1	VA-SCOTT	#N/A	
SCOTTS BLUFF	NE	6	NE-SCOTTS BLUFF	#N/A	
SEBASTIAN	AR	9	AR-SEBASTIAN	#N/A	
SEDGWICK	KS	25	KS-SEDGWICK	#N/A	
SEMINOLE	FL	8	FL-SEMINOLE	#N/A	
SEMINOLE	OK	1	OK-SEMINOLE	#N/A	
SENECA	OH	4	OH-SENECA	#N/A	
SEQUOYAH	OK	1	OK-SEQUOYAH	#N/A	
SEVIER	TN	15	TN-SEVIER	#N/A	
SEWARD	KS	3	KS-SEWARD	#N/A	
SHARKEY	MS	3	MS-SHARKEY	#N/A	
SHARP	AR	3	AR-SHARP	#N/A	
SHASTA	CA	4	CA-SHASTA	#N/A	
SHAWANO	WI	15	WI-SHAWANO	#N/A	
SHAWNEE	KS	27	KS-SHAWNEE	#N/A	
SHEBOYGAN	WI	21	WI-SHEBOYGAN	#N/A	
SHELBY	AL	4	AL-SHELBY	#N/A	
SHELBY	IL	14	IL-SHELBY	#N/A	
SHELBY	IN	37	IN-SHELBY	#N/A	
SHELBY	KY	3	KY-SHELBY	#N/A	
SHELBY	OH	20	OH-SHELBY	#N/A	
SHELBY	TN	362	TN-SHELBY	#N/A	
SHELBY	TX	2	TX-SHELBY	#N/A	
SHENANDOAH	VA	1	VA-SHENANDOAH	#N/A	
SHERBURNE	MN	7	MN-SHERBURNE	#N/A	
SHERIDAN	WY	4	WY-SHERIDAN	#N/A	
SHERMAN	TX	1	TX-SHERMAN	#N/A	
SHIAWASSEE	MI	2	MI-SHIAWASSEE	#N/A	
SIMPSON	MS	7	MS-SIMPSON	#N/A	
SIOUX	NE	1	NE-SIOUX	#N/A	
SKAGIT	WA	6	WA-SKAGIT	#N/A	
SMITH	MS	3	MS-SMITH	#N/A	
SMITH	TN	1	TN-SMITH	#N/A	
SMITH	TX	11	TX-SMITH	#N/A	
SMYTH	VA	2	VA-SMYTH	#N/A	
SNOHOMISH	WA	9	WA-SNOHOMISH	#N/A	
SNYDER	PA	1	PA-SNYDER	#N/A	
SOLANO	CA	10	CA-SOLANO	#N/A	
SOMERSET	ME	2	ME-SOMERSET	#N/A	
SOMERSET	NJ	1	NJ-SOMERSET	#N/A	
SOMERSET	PA	2	PA-SOMERSET	#N/A	
SONOMA	CA	3	CA-SONOMA	#N/A	
SPALDING	GA	11	GA-SPALDING	#N/A	
SPARTANBURG	SC	8	SC-SPARTANBURG	#N/A	
SPENCER	IN	2	IN-SPENCER	#N/A	
SPINK	SD	1	SD-SPINK	#N/A	
SPOKANE	WA	20	WA-SPOKANE	#N/A	
ST JOHN THE BAPTIST	LA	6	LA-ST JOHN THE BAPTIST	#N/A	
ST JOSEPH	IN	589	IN-ST JOSEPH	#N/A	
STAFFORD	VA	5	VA-STAFFORD	#N/A	
STANISLAUS	CA	6	CA-STANISLAUS	#N/A	
STANLEY	SD	1	SD-STANLEY	#N/A	
STANLY	NC	1	NC-STANLY	#N/A	
STARK	IL	11	IL-STARK	#N/A	
STARK	ND	3	ND-STARK	#N/A	
STARK	OH	17	OH-STARK	#N/A	
STARKE	IN	15	IN-STARKE	#N/A	
STARR	TX	1	TX-STARR	#N/A	
STEARNS	MN	8	MN-STEARNS	#N/A	
STEELE	MN	2	MN-STEELE	#N/A	
STEPHENS	GA	1	GA-STEPHENS	#N/A	
STEPHENS	OK	9	OK-STEPHENS	#N/A	
STEPHENSON	IL	19	IL-STEPHENSON	#N/A	
STEUBEN	IN	20	IN-STEUBEN	#N/A	
STEUBEN	NY	2	NY-STEUBEN	#N/A	
STEVENS	WA	1	WA-STEVENS	#N/A	
STEWART	GA	3	GA-STEWART	#N/A	
STEWART	TN	1	TN-STEWART	#N/A	
STODDARD	MO	6	MO-STODDARD	#N/A	
STONE	AR	1	AR-STONE	#N/A	
STONE	MO	1	MO-STONE	#N/A	
STONE	MS	4	MS-STONE	#N/A	
STORY	IA	5	IA-STORY	#N/A	
SUBLETTE	WY	1	WY-SUBLETTE	#N/A	
SUFFOLK	MA	1	MA-SUFFOLK	#N/A	
SUFFOLK	NY	4	NY-SUFFOLK	#N/A	
SULLIVAN	IN	10	IN-SULLIVAN	#N/A	
SULLIVAN	NH	1	NH-SULLIVAN	#N/A	
SULLIVAN	NY	1	NY-SULLIVAN	#N/A	
SULLIVAN	TN	8	TN-SULLIVAN	#N/A	
SUMMIT	CO	1	CO-SUMMIT	#N/A	
SUMMIT	OH	20	OH-SUMMIT	#N/A	
SUMNER	KS	1	KS-SUMNER	#N/A	
SUMNER	TN	4	TN-SUMNER	#N/A	
SUMTER	AL	11	AL-SUMTER	#N/A	
SUMTER	FL	1	FL-SUMTER	#N/A	
SUMTER	GA	1	GA-SUMTER	#N/A	
SUMTER	SC	7	SC-SUMTER	#N/A	
SUNFLOWER	MS	113	MS-SUNFLOWER	#N/A	
SURRY	NC	1	NC-SURRY	#N/A	
SUSQUEHANNA	PA	6	PA-SUSQUEHANNA	#N/A	
SUSSEX	DE	2	DE-SUSSEX	#N/A	
SUSSEX	VA	2	VA-SUSSEX	#N/A	
SUWANNEE	FL	3	FL-SUWANNEE	#N/A	
SWAIN	NC	1	NC-SWAIN	#N/A	
SWEETWATER	WY	1	WY-SWEETWATER	#N/A	
SWISHER	TX	1	TX-SWISHER	#N/A	
SWITZERLAND	IN	3	IN-SWITZERLAND	#N/A	
TALBOT	MD	1	MD-TALBOT	#N/A	
TALLADEGA	AL	16	AL-TALLADEGA	#N/A	
TALLAHATCHIE	MS	69	MS-TALLAHATCHIE	#N/A	
TALLAPOOSA	AL	5	AL-TALLAPOOSA	#N/A	
TANEY	MO	3	MO-TANEY	#N/A	
TANGIPAHOA	LA	22	LA-TANGIPAHOA	#N/A	
TAOS	NM	1	NM-TAOS	#N/A	
TARRANT	TX	63	TX-TARRANT	#N/A	
TATE	MS	28	MS-TATE	#N/A	
TATTNALL	GA	1	GA-TATTNALL	#N/A	
TAYLOR	FL	1	FL-TAYLOR	#N/A	
TAYLOR	GA	5	GA-TAYLOR	#N/A	
TAYLOR	KY	10	KY-TAYLOR	#N/A	
TAYLOR	TX	10	TX-TAYLOR	#N/A	
TAYLOR	WI	2	WI-TAYLOR	#N/A	
TAZEWELL	IL	37	IL-TAZEWELL	#N/A	
TAZEWELL	VA	7	VA-TAZEWELL	#N/A	
TEHAMA	CA	2	CA-TEHAMA	#N/A	
TELFAIR	GA	1	GA-TELFAIR	#N/A	
TERREBONNE	LA	3	LA-TERREBONNE	#N/A	
TERRELL	GA	2	GA-TERRELL	#N/A	
TETON	WY	2	WY-TETON	#N/A	
TEXAS	MO	5	MO-TEXAS	#N/A	
TEXAS	OK	1	OK-TEXAS	#N/A	
THAYER	NE	1	NE-THAYER	#N/A	
THOMAS	GA	2	GA-THOMAS	#N/A	
THURSTON	WA	5	WA-THURSTON	#N/A	
TIFT	GA	9	GA-TIFT	#N/A	
TIOGA	NY	1	NY-TIOGA	#N/A	
TIPPAH	MS	98	MS-TIPPAH	#N/A	
TIPPECANOE	IN	74	IN-TIPPECANOE	#N/A	
TIPTON	IN	7	IN-TIPTON	#N/A	
TIPTON	TN	11	TN-TIPTON	#N/A	
TISHOMINGO	MS	8	MS-TISHOMINGO	#N/A	
TITUS	TX	1	TX-TITUS	#N/A	
TODD	KY	1	KY-TODD	#N/A	
TODD	MN	2	MN-TODD	#N/A	
TOLLAND	CT	2	CT-TOLLAND	#N/A	
TOM GREEN	TX	3	TX-TOM GREEN	#N/A	
TOMPKINS	NY	1	NY-TOMPKINS	#N/A	
TOOMBS	GA	6	GA-TOOMBS	#N/A	
TRAVIS	TX	23	TX-TRAVIS	#N/A	
TREMPEALEAU	WI	2	WI-TREMPEALEAU	#N/A	
TRIMBLE	KY	2	KY-TRIMBLE	#N/A	
TRIPP	SD	3	SD-TRIPP	#N/A	
TROUP	GA	11	GA-TROUP	#N/A	
TRUMBULL	OH	8	OH-TRUMBULL	#N/A	
TULARE	CA	4	CA-TULARE	#N/A	
TULSA	OK	44	OK-TULSA	#N/A	
TUNICA	MS	55	MS-TUNICA	#N/A	
TURNER	GA	1	GA-TURNER	#N/A	
TURNER	SD	5	SD-TURNER	#N/A	
TUSCALOOSA	AL	47	AL-TUSCALOOSA	#N/A	
TUSCARAWAS	OH	2	OH-TUSCARAWAS	#N/A	
TUSCOLA	MI	2	MI-TUSCOLA	#N/A	
TWIGGS	GA	2	GA-TWIGGS	#N/A	
TWIN FALLS	ID	2	ID-TWIN FALLS	#N/A	
ULSTER	NY	1	NY-ULSTER	#N/A	
UNICOI	TN	1	TN-UNICOI	#N/A	
UNION	AR	15	AR-UNION	#N/A	
UNION	GA	2	GA-UNION	#N/A	
UNION	IL	8	IL-UNION	#N/A	
UNION	IN	1	IN-UNION	#N/A	
UNION	KY	2	KY-UNION	#N/A	
UNION	LA	5	LA-UNION	#N/A	
UNION	MS	28	MS-UNION	#N/A	
UNION	NC	11	NC-UNION	#N/A	
UNION	NJ	1	NJ-UNION	#N/A	
UNION	OH	4	OH-UNION	#N/A	
UNION	OR	2	OR-UNION	#N/A	
UNION	SC	2	SC-UNION	#N/A	
UNION	SD	1	SD-UNION	#N/A	
UPSHUR	TX	1	TX-UPSHUR	#N/A	
UPSHUR	WV	3	WV-UPSHUR	#N/A	
UPSON	GA	2	GA-UPSON	#N/A	
UTAH	UT	17	UT-UTAH	#N/A	
VAL VERDE	TX	1	TX-VAL VERDE	#N/A	
VALDEZ CORDOVA	AK	2	AK-VALDEZ CORDOVA	#N/A	
VALLEY	MT	1	MT-VALLEY	#N/A	
VAN BUREN	AR	5	AR-VAN BUREN	#N/A	
VAN BUREN	IA	1	IA-VAN BUREN	#N/A	
VAN BUREN	MI	19	MI-VAN BUREN	#N/A	
VAN BUREN	TN	2	TN-VAN BUREN	#N/A	
VAN WERT	OH	2	OH-VAN WERT	#N/A	
VAN ZANDT	TX	3	TX-VAN ZANDT	#N/A	
VANCE	NC	1	NC-VANCE	#N/A	
VANDERBURGH	IN	55	IN-VANDERBURGH	#N/A	
VENANGO	PA	2	PA-VENANGO	#N/A	
VENTURA	CA	6	CA-VENTURA	#N/A	
VERMILION	IL	87	IL-VERMILION	#N/A	
VERMILION	LA	1	LA-VERMILION	#N/A	
VERMILLION	IN	13	IN-VERMILLION	#N/A	
VERNON	LA	31	LA-VERNON	#N/A	
VERNON	MO	2	MO-VERNON	#N/A	
VERNON	WI	3	WI-VERNON	#N/A	
VIGO	IN	95	IN-VIGO	#N/A	
VILAS	WI	8	WI-VILAS	#N/A	
VIRGINIA BEACH CITY	VA	18	VA-VIRGINIA BEACH CITY	#N/A	
VOLUSIA	FL	11	FL-VOLUSIA	#REF!	
WABASH	IL	2	IL-WABASH	#N/A	
WABASH	IN	61	IN-WABASH	#N/A	
WABASHA	MN	3	MN-WABASHA	#N/A	
WAGONER	OK	1	OK-WAGONER	#N/A	
WAKE	NC	7	NC-WAKE	#N/A	
WAKULLA	FL	1	FL-WAKULLA	#N/A	
WALKER	AL	17	AL-WALKER	#N/A	
WALKER	GA	22	GA-WALKER	#N/A	
WALLA WALLA	WA	3	WA-WALLA WALLA	#N/A	
WALTHALL	MS	6	MS-WALTHALL	#N/A	
WALTON	GA	2	GA-WALTON	#N/A	
WALWORTH	WI	70	WI-WALWORTH	#N/A	
WAPELLO	IA	3	IA-WAPELLO	#N/A	
WARD	ND	11	ND-WARD	#N/A	
WARE	GA	5	GA-WARE	#N/A	
WARREN	IA	2	IA-WARREN	#N/A	
WARREN	KY	11	KY-WARREN	#N/A	
WARREN	MO	3	MO-WARREN	#N/A	
WARREN	MS	42	MS-WARREN	#N/A	
WARREN	OH	20	OH-WARREN	#N/A	
WARREN	PA	1	PA-WARREN	#N/A	
WARREN	TN	3	TN-WARREN	#N/A	
WARRICK	IN	4	IN-WARRICK	#N/A	
WASECA	MN	3	MN-WASECA	#N/A	
WASHBURN	WI	7	WI-WASHBURN	#N/A	
WASHINGTON	AR	25	AR-WASHINGTON	#N/A	
WASHINGTON	FL	2	FL-WASHINGTON	#N/A	
WASHINGTON	GA	4	GA-WASHINGTON	#N/A	
WASHINGTON	ID	1	ID-WASHINGTON	#N/A	
WASHINGTON	IL	1	IL-WASHINGTON	#N/A	
WASHINGTON	KY	4	KY-WASHINGTON	#N/A	
WASHINGTON	LA	6	LA-WASHINGTON	#N/A	
WASHINGTON	MD	3	MD-WASHINGTON	#N/A	
WASHINGTON	ME	1	ME-WASHINGTON	#N/A	
WASHINGTON	MN	17	MN-WASHINGTON	#N/A	
WASHINGTON	MO	1	MO-WASHINGTON	#N/A	
WASHINGTON	MS	236	MS-WASHINGTON	#N/A	
WASHINGTON	OH	1	OH-WASHINGTON	#N/A	
WASHINGTON	OK	4	OK-WASHINGTON	#N/A	
WASHINGTON	OR	1	OR-WASHINGTON	#N/A	
WASHINGTON	PA	13	PA-WASHINGTON	#N/A	
WASHINGTON	RI	1	RI-WASHINGTON	#N/A	
WASHINGTON	TN	12	TN-WASHINGTON	#N/A	
WASHINGTON	TX	3	TX-WASHINGTON	#N/A	
WASHINGTON	UT	2	UT-WASHINGTON	#N/A	
WASHINGTON	VT	1	VT-WASHINGTON	#N/A	
WASHINGTON	WI	35	WI-WASHINGTON	#N/A	
WASHOE	NV	14	NV-WASHOE	#N/A	
WASHTENAW	MI	5	MI-WASHTENAW	#N/A	
WAUKESHA	WI	89	WI-WAUKESHA	#N/A	
WAUPACA	WI	2	WI-WAUPACA	#N/A	
WAUSHARA	WI	11	WI-WAUSHARA	#N/A	
WAYNE	GA	2	GA-WAYNE	#N/A	
WAYNE	IA	2	IA-WAYNE	#N/A	
WAYNE	IL	9	IL-WAYNE	#N/A	
WAYNE	IN	26	IN-WAYNE	#N/A	
WAYNE	KY	5	KY-WAYNE	#N/A	
WAYNE	MI	62	MI-WAYNE	#N/A	
WAYNE	MO	1	MO-WAYNE	#N/A	
WAYNE	MS	24	MS-WAYNE	#N/A	
WAYNE	NC	4	NC-WAYNE	#N/A	
WAYNE	OH	18	OH-WAYNE	#N/A	
WAYNE	PA	1	PA-WAYNE	#N/A	
WAYNE	TN	2	TN-WAYNE	#N/A	
WAYNE	WV	2	WV-WAYNE	#N/A	
WAYNESBORO CITY	VA	1	VA-WAYNESBORO CITY	#N/A	
WEAKLEY	TN	6	TN-WEAKLEY	#REF!	
WEBB	TX	12	TX-WEBB	#N/A	
WEBER	UT	5	UT-WEBER	#N/A	
WEBSTER	IA	2	IA-WEBSTER	#N/A	
WEBSTER	KY	11	KY-WEBSTER	#N/A	
WEBSTER	LA	2	LA-WEBSTER	#N/A	
WEBSTER	MS	4	MS-WEBSTER	#N/A	
WEBSTER	WV	1	WV-WEBSTER	#N/A	
WELD	CO	2	CO-WELD	#N/A	
WELLS	IN	9	IN-WELLS	#N/A	
WEST CARROLL	LA	1	LA-WEST CARROLL	#N/A	
WESTCHESTER	NY	6	NY-WESTCHESTER	#N/A	
WESTMORELAND	PA	5	PA-WESTMORELAND	#N/A	
WESTMORELAND	VA	1	VA-WESTMORELAND	#N/A	
WESTON	WY	1	WY-WESTON	#N/A	
WETZEL	WV	3	WV-WETZEL	#N/A	
WEXFORD	MI	1	MI-WEXFORD	#N/A	
WHARTON	TX	4	TX-WHARTON	#N/A	
WHATCOM	WA	2	WA-WHATCOM	#N/A	
WHITE PINE	NV	1	NV-WHITE PINE	#N/A	
WHITE	AR	7	AR-WHITE	#N/A	
WHITE	IL	1	IL-WHITE	#N/A	
WHITE	IN	7	IN-WHITE	#N/A	
WHITE	TN	4	TN-WHITE	#N/A	
WHITESIDE	IL	33	IL-WHITESIDE	#N/A	
WHITFIELD	GA	52	GA-WHITFIELD	#N/A	
WHITLEY	IN	24	IN-WHITLEY	#N/A	
WHITLEY	KY	28	KY-WHITLEY	#N/A	
WICHITA	TX	8	TX-WICHITA	#N/A	
WICOMICO	MD	1	MD-WICOMICO	#N/A	
WILKES	GA	2	GA-WILKES	#N/A	
WILKES	NC	3	NC-WILKES	#N/A	
WILL	IL	909	IL-WILL	#N/A	
WILLIAMS	OH	6	OH-WILLIAMS	#N/A	
WILLIAMSON	IL	57	IL-WILLIAMSON	#N/A	
WILLIAMSON	TN	5	TN-WILLIAMSON	#N/A	
WILLIAMSON	TX	1	TX-WILLIAMSON	#N/A	
WILSON	NC	2	NC-WILSON	#N/A	
WILSON	TN	11	TN-WILSON	#N/A	
WINKLER	TX	1	TX-WINKLER	#N/A	
WINNEBAGO	IL	226	IL-WINNEBAGO	#N/A	
WINNEBAGO	WI	21	WI-WINNEBAGO	#N/A	
WINONA	MN	5	MN-WINONA	#N/A	
WINSTON	AL	4	AL-WINSTON	#N/A	
WINSTON	MS	44	MS-WINSTON	#N/A	
WISE	TX	2	TX-WISE	#N/A	
WISE	VA	2	VA-WISE	#N/A	
WOLFE	KY	9	KY-WOLFE	#N/A	
WOOD	OH	13	OH-WOOD	#N/A	
WOOD	TX	4	TX-WOOD	#N/A	
WOOD	WI	23	WI-WOOD	#N/A	
WOOD	WV	11	WV-WOOD	#N/A	
WOODBURY	IA	9	IA-WOODBURY	#N/A	
WOODFORD	IL	7	IL-WOODFORD	#N/A	
WOODFORD	KY	10	KY-WOODFORD	#N/A	
WOODRUFF	AR	2	AR-WOODRUFF	#N/A	
WOODS	OK	1	OK-WOODS	#N/A	
WOODWARD	OK	1	OK-WOODWARD	#N/A	
WORCESTER	MA	5	MA-WORCESTER	#N/A	
WORCESTER	MD	1	MD-WORCESTER	#N/A	
WRIGHT	MN	1	MN-WRIGHT	#N/A	
WRIGHT	MO	1	MO-WRIGHT	#N/A	
WYANDOTTE	KS	7	KS-WYANDOTTE	#N/A	
WYOMING	WV	4	WV-WYOMING	#N/A	
WYTHE	VA	1	VA-WYTHE	#N/A	
YAKIMA	WA	6	WA-YAKIMA	#N/A	
YALOBUSHA	MS	10	MS-YALOBUSHA	#N/A	
YAVAPAI	AZ	22	AZ-YAVAPAI	#N/A	
YAZOO	MS	155	MS-YAZOO	#N/A	
YELL	AR	1	AR-YELL	#N/A	
YELLOWSTONE	MT	13	MT-YELLOWSTONE	#N/A	
YOLO	CA	2	CA-YOLO	#N/A	
YORK	ME	1	ME-YORK	#N/A	
YORK	NE	1	NE-YORK	#N/A	
YORK	PA	3	PA-YORK	#N/A	
YORK	SC	7	SC-YORK	#N/A	
YORK	VA	2	VA-YORK	#N/A	
YOUNG	TX	1	TX-YOUNG	#N/A	
YUBA	CA	3	CA-YUBA	#N/A	
YUMA	AZ	13	AZ-YUMA	#N/A	
YUMA	CO	1	CO-YUMA	#N/A	
