Original_County	State	Guns	joinfield	state_fips	county_fips
CHICKASAW	MS	16	MS-CHICKASAW	#N/A	
CHICOT	AR	12	AR-CHICOT	#N/A	
CHILTON	AL	1	AL-CHILTON	#N/A	
CHIPPEWA	MI	1	MI-CHIPPEWA	#N/A	
CHIPPEWA	WI	1	WI-CHIPPEWA	#N/A	
CHISAGO	MN	1	MN-CHISAGO	#N/A	
CHITTENDEN	VT	3	VT-CHITTENDEN	#N/A	
CHOCTAW	AL	4	AL-CHOCTAW	#N/A	
CHOCTAW	MS	24	MS-CHOCTAW	#N/A	
CHRISTIAN	IL	8	IL-CHRISTIAN	#N/A	
CHRISTIAN	KY	44	KY-CHRISTIAN	#N/A	
CHRISTIAN	MO	4	MO-CHRISTIAN	#N/A	
CHURCHILL	NV	3	NV-CHURCHILL	#N/A	
CIALES	PR	1	PR-CIALES	#N/A	
CITRUS	FL	9	FL-CITRUS	#N/A	
CLACKAMAS	OR	7	OR-CLACKAMAS	#N/A	
CLAIBORNE	LA	4	LA-CLAIBORNE	#N/A	
CLAIBORNE	MS	11	MS-CLAIBORNE	#N/A	
CLAIBORNE	TN	4	TN-CLAIBORNE	#N/A	
CLALLAM	WA	2	WA-CLALLAM	#N/A	
CLARE	MI	9	MI-CLARE	#N/A	
CLARION	PA	1	PA-CLARION	#N/A	
CLARK	AR	3	AR-CLARK	#N/A	
CLARK	IL	3	IL-CLARK	#N/A	
CLARK	IN	31	IN-CLARK	#N/A	
CLARK	KY	7	KY-CLARK	#N/A	
CLARK	NV	64	NV-CLARK	#N/A	
CLARK	OH	18	OH-CLARK	#N/A	
CLARK	WA	8	WA-CLARK	#N/A	
CLARK	WI	5	WI-CLARK	#N/A	
CLARKE	AL	4	AL-CLARKE	#N/A	
CLARKE	GA	8	GA-CLARKE	#N/A	
CLARKE	IA	1	IA-CLARKE	#N/A	
CLARKE	MS	17	MS-CLARKE	#N/A	
CLAY	AL	1	AL-CLAY	#N/A	
CLAY	AR	2	AR-CLAY	#N/A	
CLAY	FL	2	FL-CLAY	#N/A	
CLAY	IA	1	IA-CLAY	#N/A	
CLAY	IL	8	IL-CLAY	#N/A	
CLAY	IN	14	IN-CLAY	#N/A	
CLAY	KY	8	KY-CLAY	#N/A	
CLAY	MO	8	MO-CLAY	#N/A	
CLAY	MS	110	MS-CLAY	#N/A	
CLAY	TN	1	TN-CLAY	#N/A	
CLAYTON	GA	79	GA-CLAYTON	#N/A	
CLAYTON	IA	2	IA-CLAYTON	#N/A	
CLEARFIELD	PA	5	PA-CLEARFIELD	#N/A	
CLEARWATER	MN	2	MN-CLEARWATER	#N/A	
CLEBURNE	AL	1	AL-CLEBURNE	#N/A	
CLEBURNE	AR	4	AR-CLEBURNE	#N/A	
CLERMONT	OH	23	OH-CLERMONT	#N/A	
CLEVELAND	NC	3	NC-CLEVELAND	#N/A	
CLEVELAND	OK	4	OK-CLEVELAND	#N/A	
CLIFTON FORGE CITY	VA	1	VA-CLIFTON FORGE CITY	#N/A	
CLINTON	IA	10	IA-CLINTON	#N/A	
CLINTON	IL	8	IL-CLINTON	#N/A	
CLINTON	IN	13	IN-CLINTON	#N/A	
CLINTON	KY	2	KY-CLINTON	#N/A	
CLINTON	MI	1	MI-CLINTON	#N/A	
CLINTON	MO	1	MO-CLINTON	#N/A	
CLINTON	OH	6	OH-CLINTON	#N/A	
CLINTON	PA	1	PA-CLINTON	#N/A	
COAHOMA	MS	447	MS-COAHOMA	#N/A	
COBB	GA	83	GA-COBB	#N/A	
COCHISE	AZ	20	AZ-COCHISE	#N/A	
COCHRAN	TX	1	TX-COCHRAN	#N/A	
COCKE	TN	5	TN-COCKE	#N/A	
COCONINO	AZ	9	AZ-COCONINO	#N/A	
CODINGTON	SD	1	SD-CODINGTON	#N/A	
COFFEE	AL	12	AL-COFFEE	#N/A	
COFFEE	GA	1	GA-COFFEE	#N/A	
COFFEE	TN	6	TN-COFFEE	#N/A	
COLBERT	AL	23	AL-COLBERT	#N/A	
COLE	MO	13	MO-COLE	#N/A	
COLES	IL	21	IL-COLES	#N/A	
COLLETON	SC	1	SC-COLLETON	#N/A	
COLLIER	FL	4	FL-COLLIER	#N/A	
COLLIN	TX	12	TX-COLLIN	#N/A	
COLONIAL HEIGHTS CITY	VA	6	VA-COLONIAL HEIGHTS CITY	#N/A	
COLQUITT	GA	1	GA-COLQUITT	#REF!	
COLUMBIA	AR	8	AR-COLUMBIA	#N/A	
COLUMBIA	FL	1	FL-COLUMBIA	#N/A	
COLUMBIA	GA	2	GA-COLUMBIA	#N/A	
COLUMBIA	NY	1	NY-COLUMBIA	#N/A	
COLUMBIA	PA	1	PA-COLUMBIA	#N/A	
COLUMBIA	WI	12	WI-COLUMBIA	#N/A	
COLUMBIANA	OH	3	OH-COLUMBIANA	#N/A	
COMAL	TX	1	TX-COMAL	#N/A	
COMANCHE	KS	2	KS-COMANCHE	#N/A	
COMANCHE	OK	21	OK-COMANCHE	#N/A	
COMANCHE	TX	2	TX-COMANCHE	#N/A	
CONCORDIA	LA	9	LA-CONCORDIA	#N/A	
CONTRA COSTA	CA	10	CA-CONTRA COSTA	#N/A	
CONWAY	AR	1	AR-CONWAY	#N/A	
COOK	IL	"15,781"	IL-COOK	#N/A	
COOKE	TX	3	TX-COOKE	#N/A	
COOS	OR	1	OR-COOS	#N/A	
COPIAH	MS	35	MS-COPIAH	#N/A	
CORTLAND	NY	1	NY-CORTLAND	#N/A	
CORYELL	TX	13	TX-CORYELL	#N/A	
COSHOCTON	OH	1	OH-COSHOCTON	#N/A	
COVINGTON	AL	7	AL-COVINGTON	#N/A	
COVINGTON	MS	6	MS-COVINGTON	#N/A	
COWETA	GA	8	GA-COWETA	#N/A	
COWLEY	KS	2	KS-COWLEY	#N/A	
CRAIG	OK	1	OK-CRAIG	#N/A	
CRAIGHEAD	AR	35	AR-CRAIGHEAD	#N/A	
CRAVEN	NC	5	NC-CRAVEN	#N/A	
CRAWFORD	AR	6	AR-CRAWFORD	#N/A	
CRAWFORD	IA	4	IA-CRAWFORD	#N/A	
CRAWFORD	IL	7	IL-CRAWFORD	#N/A	
CRAWFORD	IN	2	IN-CRAWFORD	#N/A	
CRAWFORD	KS	3	KS-CRAWFORD	#N/A	
CRAWFORD	MI	1	MI-CRAWFORD	#N/A	
CRAWFORD	MO	1	MO-CRAWFORD	#N/A	
CRAWFORD	OH	6	OH-CRAWFORD	#N/A	
CRAWFORD	PA	1	PA-CRAWFORD	#N/A	
CRAWFORD	WI	3	WI-CRAWFORD	#N/A	
CREEK	OK	2	OK-CREEK	#N/A	
CRENSHAW	AL	2	AL-CRENSHAW	#N/A	
CRISP	GA	1	GA-CRISP	#N/A	
CRITTENDEN	AR	55	AR-CRITTENDEN	#N/A	
CRITTENDEN	KY	10	KY-CRITTENDEN	#N/A	
CROCKETT	TN	2	TN-CROCKETT	#N/A	
CROSS	AR	6	AR-CROSS	#N/A	
CROW WING	MN	3	MN-CROW WING	#N/A	
CULLMAN	AL	8	AL-CULLMAN	#N/A	
CULPEPER	VA	1	VA-CULPEPER	#N/A	
CUMBERLAND	KY	1	KY-CUMBERLAND	#N/A	
CUMBERLAND	ME	3	ME-CUMBERLAND	#N/A	
CUMBERLAND	NC	49	NC-CUMBERLAND	#N/A	
CUMBERLAND	PA	4	PA-CUMBERLAND	#N/A	
CUMBERLAND	TN	5	TN-CUMBERLAND	#N/A	
CUMBERLAND	VA	1	VA-CUMBERLAND	#N/A	
CURRY	NM	6	NM-CURRY	#N/A	
CUSTER	OK	1	OK-CUSTER	#N/A	
CUYAHOGA	OH	38	OH-CUYAHOGA	#N/A	
DADE	FL	95	FL-DADE	#N/A	
DADE	GA	1	GA-DADE	#N/A	
DAKOTA	MN	19	MN-DAKOTA	#N/A	
DAKOTA	NE	3	NE-DAKOTA	#N/A	
DALE	AL	8	AL-DALE	#N/A	
DALLAS	AL	20	AL-DALLAS	#N/A	
DALLAS	AR	2	AR-DALLAS	#N/A	
DALLAS	IA	1	IA-DALLAS	#N/A	
